plan_id,tier_code,tier_slug,age_band_raw,age_start,age_end,age_open_ended,premium_total_raw,premium_total_min,premium_total_max,premium_excl_mshl_raw,premium_excl_mshl_min,premium_excl_mshl_max,annual_change_raw,annual_change_min_pct,annual_change_max_pct,premium_available,availability_note,source_kind,source_pdf,source_page,source_table,source_slug,repair_flags
standard__great_eastern__great_supremehealth_standard,standard,standard_integrated_shield_plans,1 to 20,1,20.0,False,179 - 184,179.0,184.0,31 - 36,31.0,36.0,2.6% to 4.2%,2.6,4.2,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__prudential__prushield_standard_plan,standard,standard_integrated_shield_plans,1 to 20,1,20.0,False,189,189.0,189.0,42,42.0,42.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__great_eastern__great_supremehealth_standard,standard,standard_integrated_shield_plans,21 to 30,21,30.0,False,291,291.0,291.0,36,36.0,36.0,2.6%,2.6,2.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__prudential__prushield_standard_plan,standard,standard_integrated_shield_plans,21 to 30,21,30.0,False,304,304.0,304.0,49,49.0,49.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__great_eastern__great_supremehealth_standard,standard,standard_integrated_shield_plans,31 to 40,31,40.0,False,451,451.0,451.0,54,54.0,54.0,4.0%,4.0,4.0,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__prudential__prushield_standard_plan,standard,standard_integrated_shield_plans,31 to 40,31,40.0,False,461,461.0,461.0,64,64.0,64.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__great_eastern__great_supremehealth_standard,standard,standard_integrated_shield_plans,41 to 50,41,50.0,False,621,621.0,621.0,86,86.0,86.0,4.0%,4.0,4.0,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__prudential__prushield_standard_plan,standard,standard_integrated_shield_plans,41 to 50,41,50.0,False,645,645.0,645.0,110,110.0,110.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__great_eastern__great_supremehealth_standard,standard,standard_integrated_shield_plans,51 to 60,51,60.0,False,930,930.0,930.0,115,115.0,115.0,4.1%,4.1,4.1,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__prudential__prushield_standard_plan,standard,standard_integrated_shield_plans,51 to 60,51,60.0,False,959 - 997,959.0,997.0,144 - 182,144.0,182.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__great_eastern__great_supremehealth_standard,standard,standard_integrated_shield_plans,61 to 65,61,65.0,False,"1,274",1274.0,1274.0,235,235.0,235.0,4.4%,4.4,4.4,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__prudential__prushield_standard_plan,standard,standard_integrated_shield_plans,61 to 65,61,65.0,False,"1,294",1294.0,1294.0,255,255.0,255.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__great_eastern__great_supremehealth_standard,standard,standard_integrated_shield_plans,66 to 70,66,70.0,False,"1,495",1495.0,1495.0,374,374.0,374.0,4.4%,4.4,4.4,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__prudential__prushield_standard_plan,standard,standard_integrated_shield_plans,66 to 70,66,70.0,False,"1,524",1524.0,1524.0,403,403.0,403.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__great_eastern__great_supremehealth_standard,standard,standard_integrated_shield_plans,71 to 73,71,73.0,False,"1,815",1815.0,1815.0,598,598.0,598.0,4.4%,4.4,4.4,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__prudential__prushield_standard_plan,standard,standard_integrated_shield_plans,71 to 73,71,73.0,False,"1,839",1839.0,1839.0,621,621.0,621.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__great_eastern__great_supremehealth_standard,standard,standard_integrated_shield_plans,74 to 75,74,75.0,False,"2,027",2027.0,2027.0,682,682.0,682.0,4.5%,4.5,4.5,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__prudential__prushield_standard_plan,standard,standard_integrated_shield_plans,74 to 75,74,75.0,False,"2,105",2105.0,2105.0,760,760.0,760.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__great_eastern__great_supremehealth_standard,standard,standard_integrated_shield_plans,76 to 78,76,78.0,False,"2,291",2291.0,2291.0,732,732.0,732.0,4.4%,4.4,4.4,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__prudential__prushield_standard_plan,standard,standard_integrated_shield_plans,76 to 78,76,78.0,False,"2,518",2518.0,2518.0,960,960.0,960.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__great_eastern__great_supremehealth_standard,standard,standard_integrated_shield_plans,79 to 80,79,80.0,False,"2,402",2402.0,2402.0,782,782.0,782.0,4.5%,4.5,4.5,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
standard__prudential__prushield_standard_plan,standard,standard_integrated_shield_plans,79 to 80,79,80.0,False,"2,653",2653.0,2653.0,"1,033",1033.0,1033.0,0.6%,0.6,0.6,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,2,standard_integrated_shield_plans,
