plan_id,tier_code,tier_slug,section_raw,benefit_raw,notes_raw,coverage_value_raw,is_blank_value,section_norm,benefit_norm,search_text_norm,source_pdf,source_page,source_table,source_slug,repair_flags
basic__medishield_life,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Stereotactic,,"1,800/treatment",False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,stereotactic,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer stereotactic 1 800 treatment,01_basic.pdf,2,1,basic,forward_fill_from_previous:[Income] Enhanced IncomeShield C *
basic__income__incomeshield_plan_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Stereotactic,,"2,000/treatment",False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,stereotactic,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer stereotactic 2 000 treatment,01_basic.pdf,2,1,basic,forward_fill_from_previous:[Income] Enhanced IncomeShield C *
basic__income__enhanced_incomeshield_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Stereotactic,,As Charged,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,stereotactic,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer stereotactic as charged,01_basic.pdf,2,1,basic,forward_fill_from_previous:[Income] Enhanced IncomeShield C *
basic__medishield_life,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Proton Beam Therapy - Category 1 [Note (6)],,300/treatment,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,proton beam therapy category 1 note 6,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer proton beam therapy category 1 note 6 300 treatment,01_basic.pdf,2,1,basic,
basic__income__incomeshield_plan_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Proton Beam Therapy - Category 1 [Note (6)],,250/treatment,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,proton beam therapy category 1 note 6,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer proton beam therapy category 1 note 6 250 treatment,01_basic.pdf,2,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Proton Beam Therapy - Category 1 [Note (6)],,Covered under Additional Benefits,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,proton beam therapy category 1 note 6,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer proton beam therapy category 1 note 6 covered under additional benefits,01_basic.pdf,2,1,basic,
basic__medishield_life,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Proton Beam Therapy - Category 2 [Note (6)],,500/treatment,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,proton beam therapy category 2 note 6,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer proton beam therapy category 2 note 6 500 treatment,01_basic.pdf,2,1,basic,forward_fill_from_previous:[Income] Enhanced IncomeShield C *
basic__income__incomeshield_plan_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Proton Beam Therapy - Category 2 [Note (6)],,500/treatment,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,proton beam therapy category 2 note 6,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer proton beam therapy category 2 note 6 500 treatment,01_basic.pdf,2,1,basic,forward_fill_from_previous:[Income] Enhanced IncomeShield C *
basic__income__enhanced_incomeshield_c,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Proton Beam Therapy - Category 2 [Note (6)],,Covered under Additional Benefits,False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,proton beam therapy category 2 note 6,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer proton beam therapy category 2 note 6 covered under additional benefits,01_basic.pdf,2,1,basic,forward_fill_from_previous:[Income] Enhanced IncomeShield C *
basic__medishield_life,basic,basic,Outpatient Treatment: | Patients receiving treatment for one primary cancer | Patients receiving treatment for multiple primary cancers | Radiotherapy for Cancer,- Proton Beam Therapy - Category 3 [Note (6)],,"1,800/treatment",False,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer,proton beam therapy category 3 note 6,outpatient treatment patients receiving treatment for one primary cancer patients receiving treatment for multiple primary cancers radiotherapy for cancer proton beam therapy category 3 note 6 1 800 treatment,01_basic.pdf,2,1,basic,forward_fill_from_previous:[Income] Enhanced IncomeShield C *
